ID_QUEJA,FECHA_REGISTRO,DEPARTAMENTO,REPORTANTE_TIPO,TIPO_QUEJA,CANAL_RECEPCION,MUNICIPIO,CODIGO_PUESTO,CLASE_QUEJA,DESCRIPCION,ESTADO_QUEJA,RECEPTOR,LATITUD_QUEJA,LONGITUD_QUEJA,FOTO_URL,OBSERVACIONES,MESA,DIRECCION,TELEFONO,EMAIL
1,2025-10-03,VALLE DEL CAUCA,CIUDADANO,FRAUDE,TELÉFONO,CALI,760026577,INTERVENCIÓN EN POLÍTICA,Se impide el acceso a testigos acreditados. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,3.305502,-76.561496,https://example.com/fotos/1.jpg,Se solicita evidencia adicional.,20,"Av 104 #12-94, CALI",3026542351,miguel.sanchez58@ejemplo.co
2,2025-10-15,BOLÍVAR,DEFENSORIA,QUEMA,WHATSAPP,CARTAGENA,130679883,DAÑO DE MATERIAL,Vehículos transportando votantes con logos partidarios. Reporte de intento de quema de material electoral.,EN TRÁMITE,MESA AYUDA,10.425796,-75.433226,https://example.com/fotos/2.jpg,Remitido a Personería.,22,"Av 108 #197-8, CARTAGENA",3534192832,valentina.rivera21@ejemplo.co
3,2025-10-03,BOGOTA D.C.,CIUDADANO,QUEMA,APP,BOGOTA,118363942,VIOLENCIA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,CERRADA,MESA AYUDA,4.765849,-74.050436,https://example.com/fotos/3.jpg,Remitido a Personería.,21,"Cl 102 #175-55, BOGOTA",3969653287,felipe.suarez69@ejemplo.co
4,2025-10-12,CALDAS,DEFENSORIA,QUEMA,SEDE ELECTRÓNICA,MANIZALES,176187732,INTERVENCIÓN EN POLÍTICA,Vehículos transportando votantes con logos partidarios. Reporte de intento de quema de material electoral.,CERRADA,OPERADOR 1,5.007623,-75.501838,https://example.com/fotos/4.jpg,,20,"Av 63 #5-15, MANIZALES",3828148932,andres.rios1@ejemplo.co
5,2025-10-04,ANTIOQUIA,CIUDADANO,QUEMA,TELÉFONO,MEDELLIN,050407714,VIOLENCIA,Se observa intercambio de dinero y propaganda dentro del perímetro no permitido. Reporte de intento de quema de material electoral.,CERRADA,OPERADOR 1,6.336957,-75.528617,https://example.com/fotos/5.jpg,Se solicita evidencia adicional.,1,"Diag 71 #59-76, MEDELLIN",3383465787,natalia.hernandez34@gmail.com
6,2025-10-02,BOGOTA D.C.,CIUDADANO,FRAUDE,TELÉFONO,BOGOTA,115245785,IRREGULARIDAD EN MESA,Se impide el acceso a testigos acreditados. Posible manipulación de conteo o daño de votos.,CERRADA,OPERADOR 1,4.472589,-74.080569,https://example.com/fotos/6.jpg,,8,"Cl 25 #138-58, BOGOTA",3116566701,felipe.castro53@mail.com
7,2025-10-05,BOGOTA D.C.,PERSONERIA,FRAUDE,WHATSAPP,BOGOTA,119899814,INTERVENCIÓN EN POLÍTICA,Ingresan votos ya marcados en sobres irregulares. Posible manipulación de conteo o daño de votos.,REGISTRADA,MESA AYUDA,4.621877,-74.213651,https://example.com/fotos/7.jpg,,19,"Cll 70 #16-96, BOGOTA",3606474687,camila.vargas8@mail.com
8,2025-10-09,ANTIOQUIA,PROCURADURIA,PROCEDIMIENTO,SEDE ELECTRÓNICA,MEDELLIN,058008495,IRREGULARIDAD EN MESA,Se reporta material electoral deteriorado o con tachaduras. Incumplimiento del procedimiento establecido por jurados.,CERRADA,OPERADOR 1,6.180861,-75.57069,https://example.com/fotos/8.jpg,Coordinación con Policía Metropolitana.,11,"Cra 2 #118-80, MEDELLIN",3699854353,pablo.mejia6@correo.com
9,2025-10-20,CALDAS,DEFENSORIA,FRAUDE,SEDE ELECTRÓNICA,MANIZALES,178318769,COACCIÓN,Se impide el acceso a testigos acreditados. Posible manipulación de conteo o daño de votos.,CERRADA,OPERADOR 1,5.119532,-75.532674,https://example.com/fotos/9.jpg,Remitido a Personería.,22,"Cll 110 #68-65, MANIZALES",3124118244,laura.garcia86@ejemplo.co
10,2025-10-29,BOLÍVAR,PERSONERIA,FRAUDE,WHATSAPP,CARTAGENA,137627540,LOGÍSTICA,Se impide el acceso a testigos acreditados. Posible manipulación de conteo o daño de votos.,REGISTRADA,OPERADOR 2,10.380179,-75.441021,https://example.com/fotos/10.jpg,Remitido a Personería.,22,"Cl 86 #27-46, CARTAGENA",3598262045,maria.gomez70@correo.com
11,2025-10-08,CALDAS,PROCURADURIA,PROCEDIMIENTO,REDES,MANIZALES,178073988,VIOLENCIA,Ingresan votos ya marcados en sobres irregulares. Incumplimiento del procedimiento establecido por jurados.,CERRADA,OPERADOR 1,5.106096,-75.499362,https://example.com/fotos/11.jpg,Coordinación con Policía Metropolitana.,11,"Av 111 #18-99, MANIZALES",3607337543,felipe.ramirez21@correo.com
12,2025-10-12,ANTIOQUIA,DEFENSORIA,PROCEDIMIENTO,SEDE ELECTRÓNICA,MEDELLIN,051921473,IRREGULARIDAD EN MESA,Se impide el acceso a testigos acreditados. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 2,6.236718,-75.583401,https://example.com/fotos/12.jpg,Se solicita evidencia adicional.,22,"Cra 93 #77-65, MEDELLIN",3934060883,carolina.mora15@gmail.com
13,2025-10-17,ANTIOQUIA,PROCURADURIA,PROCEDIMIENTO,APP,MEDELLIN,056963502,VIOLENCIA,Se impide el acceso a testigos acreditados. Incumplimiento del procedimiento establecido por jurados.,REGISTRADA,OPERADOR 2,6.29671,-75.614549,https://example.com/fotos/13.jpg,,27,"Cl 87 #80-29, MEDELLIN",3777387214,miguel.restrepo78@ejemplo.co
